	Activated CD8 T cell	Central memory CD8 T cell	Effector memeory CD8 T cell	Activated CD4 T cell	Central memory CD4 T cell	Effector memeory CD4 T cell	T follicular helper cell	Gamma delta T cell	Type 1 T helper cell	Type 17 T helper cell	Type 2 T helper cell	Regulatory T cell	Activated B cell	Immature  B cell	Memory B cell	Natural killer cell	CD56bright natural killer cell	CD56dim natural killer cell	Myeloid derived suppressor cell	Natural killer T cell	Activated dendritic cell	Plasmacytoid dendritic cell	Immature dendritic cell	Macrophage	Eosinophil	Mast cell	Monocyte	Neutrophil
TCGA-50-8457-01	0.259565407900947	0.258133820995084	0.167302133222995	0.0173401288903956	0.507668708617424	-0.0200625056809961	0.105105350485345	0.302707316193065	0.0811480909920975	-0.0179947590642851	0.023569285653684	0.111633524148862	-0.25751720618267	-0.297826354825138	-0.158908644849696	0.199429861074236	0.100454064136772	0.0430812546414918	0.344031353327612	0.0833074674788049	0.434316045698522	0.392576178372023	0.329537625010798	0.143104808005457	-0.268591016792754	0.0707637085428886	0.392606829487631	-0.0591473470801022
TCGA-50-8459-01	0.294936308229006	0.301136621734303	0.245420902965056	0.0463228977174228	0.459571059467218	-0.0748217221160463	0.0918327034521649	0.419204451803534	0.141037189761244	0.0182025293546159	0.0571516019995213	0.233568780338362	-0.192270705628815	-0.339367926785874	-0.0841362172112341	0.230528653769565	0.126659068310944	0.0856348804210526	0.435863599892181	0.13699544143822	0.455583103042154	0.34726290874046	0.190130547590518	0.0624587396577177	-0.349015972159674	0.0195186063452771	0.373038765823033	-0.0057236806968149
TCGA-50-8460-01	0.289243693080241	0.272115015954224	0.0933534814627298	0.0596337982409013	0.507528635805239	-0.0528236873461755	0.123811211521279	0.289530176776029	0.0846706811427949	0.0519735430508934	0.0372079686404637	0.0602793389740651	-0.297005014224309	-0.327839344463789	-0.133444342104964	0.207490645320664	0.0978092980746994	0.141447023276562	0.35743284460266	0.112810901890381	0.43189229404013	0.32426275832928	0.301772966181574	0.0896072696653878	-0.306988797429973	0.118042951083884	0.455742076924431	-0.0769348135424323
TCGA-53-7624-01	0.16725722624484	0.112982555689158	0.047785615059171	0.116374599964728	0.392162968304829	0.0623364296221534	-0.046177328596567	0.210926332853552	0.0147596072293607	-0.113814788792235	0.0226252662064158	-0.168303589610827	-0.320258043473218	-0.390042342259351	-0.128537199009006	0.0657282462974277	0.0971705485062682	-0.0672591222255914	0.215594567251534	0.100446664764208	0.355764435542961	0.360869203922942	0.226760583545815	0.0236916222642622	-0.357779652204295	-0.0300125548523542	0.311556287619937	-0.159256012666008
TCGA-53-7626-01	0.270984192028602	0.305545162759226	0.21050170310532	0.0853506219162707	0.507122257947472	-0.0355173032278677	0.131149074161761	0.275340218945828	0.0846943930423819	-0.0159808882934282	0.049217652988641	0.136617481700239	-0.256783450825701	-0.299985313198897	-0.156640466145308	0.18194875398896	0.0793825002953017	0.0663432385254205	0.372017458015919	0.127833788335826	0.432536238396001	0.397874336478565	0.282360348427768	0.0946994839433962	-0.333159969003568	0.0761461821897009	0.414523238865845	-0.111317158955407
TCGA-53-7813-01	0.290630628726326	0.166377555665815	0.00786578226244469	-0.0735070627472879	0.444837351315221	-0.071958174582973	0.0314302075028859	0.268482819707157	0.0369563282731451	-0.0872080224713142	-0.00281359616159993	-0.0764687327135088	-0.336520014179631	-0.43784961803276	-0.0354288243585119	0.163032701033435	0.0713820812245216	0.132886358907536	0.28042021604021	0.0480412589755208	0.424520489842001	0.298026055625237	0.243193733653742	0.0979637675836404	-0.273762102776269	-0.0492510228733368	0.408850082151825	-0.0220038978430644
TCGA-53-A4EZ-01	0.266365106878601	0.213585316826692	-0.0170829111510529	0.0510401927748169	0.447051852570704	-0.0775029063489723	0.0509351045506726	0.316400083572785	-0.0128679257044157	-0.0831281029350297	-0.0243892473092484	-0.0171728220186587	-0.329820243973657	-0.384968553941138	-0.0860632921516673	0.100717305022778	0.0926113971390738	0.109508316007244	0.247084229612136	0.0794310590476736	0.41701182038243	0.345905622672972	0.233821558540715	0.044210939971525	-0.327759833124552	0.00939011780913996	0.392487805685047	-0.167946376169654
TCGA-55-5899-01	0.229853531255106	0.130190287849841	0.0494678945064541	0.0892530449544637	0.403856723528148	0.0193615049421626	0.0444163281509516	0.293606309974912	-0.0174133517864634	-0.130963188001785	0.0566335556032556	-0.0792698696551779	-0.335477750771507	-0.386472675853101	-0.0507775178698994	0.14907399537606	0.101576739097608	0.146671600727214	0.255277056763194	0.0769877002759176	0.343392725134955	0.264455938126789	0.220131177992647	0.0580600137866199	-0.356178936648549	-0.0305103913461257	0.293110977723003	-0.154116400547606
TCGA-55-6543-01	0.250950798885114	0.223128084389814	0.110319973341773	-0.0615454573789799	0.473875689382684	-0.0554300046978729	0.115129457666758	0.3147060262405	0.0814986209680232	0.00729758505637619	0.0633326835565786	0.0766200910217119	-0.324294100167567	-0.345595117083637	-0.1308851610578	0.221542784132072	0.0885764617878858	0.141903345558391	0.319546439507926	0.10403935153982	0.430017153906617	0.350484019816205	0.245874269452865	0.0573490162644512	-0.351974365840974	0.098287700007784	0.391288112371401	-0.0700625120747895
TCGA-55-6712-01	0.282468363515791	0.378839466709939	0.237142800057569	0.105147626007174	0.510916154056219	-0.00627348333375068	0.10939369447032	0.345968236126179	0.0998509539494599	0.0230802914794302	0.0531451575159318	0.168701230983469	-0.334000484795416	-0.393096074104638	-0.0765332260940767	0.193307685445476	0.122781076494382	0.0576827558316215	0.473453408444626	0.103634226221911	0.488074950750759	0.334073772872998	0.290817270935663	0.0889150712287924	-0.310254095793018	0.0586664796698564	0.442488884861244	0.0359612761348852
TCGA-55-6970-01	0.251474016376185	0.263959903579056	0.163748238662329	0.030038358774878	0.489075804949416	-0.0211591681702214	0.117380657340131	0.298499253249503	0.0514957629323223	-0.0112747114394772	0.0218207243191119	0.11810079831724	-0.28138885807679	-0.320894669428063	-0.144812033387303	0.200757661553651	0.0832791928922017	0.0701019209187153	0.372315171603922	0.0978328101206091	0.456964664752284	0.356099453895543	0.30385814728229	0.114634148596611	-0.334732802077907	0.0212695607780364	0.428977440084197	-0.0634276867842864
TCGA-55-6971-01	0.328294844317797	0.248845727605288	0.144520476481427	0.110689312097839	0.446049700066053	-0.00265714336186656	0.11263871493249	0.296769239361843	0.0775179710754627	-0.0294065445272655	0.0356483349874862	0.102483975230824	-0.270287761153468	-0.298713306632167	-0.138261317345654	0.1957978134673	0.0863899155555042	0.0325338604872755	0.432605746222901	0.108368082651998	0.39481117794969	0.348987313832143	0.301953075773611	0.127858105927904	-0.245757259206174	0.0647661374633868	0.448293007996057	-0.121086939575125
